setting,wrapper_id,wrapper_name,k,n_rows,struct_pct,R02,R01,R12,ans_match_pct
Baseline R (repeat),,no_trigger,0,500,96.0,0.1618,0.3792,0.1321,38.6
plain,V0,baseline_plain,1,500,60.8,0.2164,0.2141,0.168,32.4
plain,V0,baseline_plain,2,500,51.8,0.2411,0.1771,0.1289,34.6
plain,V0,baseline_plain,3,500,69.2,0.2118,0.2381,0.1559,33.6
plain,V0,baseline_plain,4,500,75.4,0.1984,0.2543,0.1704,33.4
shell,V1,shell_cat,1,500,71.4,0.2143,0.2389,0.2706,30.4
shell,V1,shell_cat,2,500,74.2,0.2386,0.2538,0.3161,33.4
shell,V1,shell_cat,3,500,79.4,0.2715,0.2699,0.4514,33.6
shell,V1,shell_cat,4,500,80.0,0.2611,0.2643,0.4061,32.4
Python REPL,V2,python_repl,1,500,78.2,0.2642,0.2703,0.4204,31.0
Python REPL,V2,python_repl,2,500,79.8,0.2539,0.2663,0.3976,33.8
Python REPL,V2,python_repl,3,500,85.0,0.2803,0.2766,0.4774,34.0
Python REPL,V2,python_repl,4,500,82.0,0.2716,0.2687,0.4354,33.4
markdown fence,V3,markdown_fence,1,500,81.2,0.2736,0.274,0.4438,31.2
markdown fence,V3,markdown_fence,2,500,71.0,0.2707,0.2412,0.4185,33.6
markdown fence,V3,markdown_fence,3,500,78.2,0.2883,0.263,0.482,33.8
markdown fence,V3,markdown_fence,4,500,79.2,0.2758,0.2599,0.4586,33.6
Jupyter cell,V4,jupyter_cell,1,500,79.2,0.2587,0.2486,0.3685,29.8
Jupyter cell,V4,jupyter_cell,2,500,81.6,0.2644,0.2729,0.3951,34.0
Jupyter cell,V4,jupyter_cell,3,500,82.0,0.2785,0.273,0.4725,33.6
Jupyter cell,V4,jupyter_cell,4,500,81.2,0.268,0.2679,0.4209,32.6
agent tool,V5,agent_tool,1,500,79.6,0.24,0.2719,0.3652,29.4
agent tool,V5,agent_tool,2,500,80.8,0.2604,0.2705,0.3805,33.4
agent tool,V5,agent_tool,3,500,83.0,0.2797,0.2775,0.4545,34.6
agent tool,V5,agent_tool,4,500,81.0,0.2686,0.2636,0.4251,33.0
